Codigo-N;DIRECCION;ACTIVIDAD - Nombre Sede Nuevo;Ambito;TELEFONO Principal;Respaldo Movil / NGN/ RDSI Local;POBLACION;PROVINCIA;NIF;DISTRITO POSTAL;DISTRITO TARIFICACION;TIPO CONEXIÓN;SERVICIOS Prestados;ESTADO julio 2018;CRITICIDAD;Horario Servicio;Contacto Centro Fijo;Conatcto Centro Móvil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1149;C/ Santiago Castillo, 13;Hogar 3ª Edad Casetas;Admon.;976772888;;Tornos;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1150;C/ Sosoniesta, 2;Residencia Casetas;Admon.;;;Torralba de los Sisones;Zaragoza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2452;C/ Galicia 2;C.E.I.P. Ricardo Mur - Casetas;C. Educa.;976788846;;Torrecilla de Alcañiz;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2531;C/ Cadiz 12;C.E.I.P. Antonio Martínez Garay - Casetas;C. Educa.;976774417;;Torrelacárcel;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2562;C/ San Miguel 20;C.P.E.P.A. Miguel Hernández - Casetas;C. Educa.;976462230;;Torrente de Cinca;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2577;Avda. de la Constitución 31;I.E.S. Ángel Sanz Briz - Casetas;C. Educa.;976787235;;Torres de Albarracín;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0254;Avda. Joaquin Costa 31, bajos;Avenida Joaquin Costa 31, Bajos;Admon.;633486;;Torrevelilla;Zaragoza;LS5011001D;50700;5067;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0483;Pasaje Baleares, 3;Parque Nacional Ordesa Huesca;Admon.;;;Torres de Berrellén;Huesca;;;;;baja;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0260;Ctra. de Maella s/n, bajos;Parque de Maquinaria Caspe;Admon.;976630882;;Torrijas;Zaragoza;LS5011001D;50700;5067;;L, D;activo;ES. REMOTO;12X5;;629469976 / 772519 Capataz carreteras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0290;"Plaza de Santo Domingo 4;1-B";Agencia Comarcal;Admon.;630405;;Torrijo de la Cañada;Zaragoza;LS5011001D;50700;5067;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0291;Plaza de Santo Domingo 2, bajo;Plaza de Santo Domingo 2, Bajo;Admon.;630399;;Tosos;Zaragoza;LS5011001D;50700;5067;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0487;C/ Carmen, 21;Oficina Empleo de Jaca;Admon.;;;Torrijo del Campo;Huesca;;;;;baja;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0407;Glorieta Alfonso Xiii, 17-18;OCA Caspe;Admon.;976639040;606107726 / 749106;Tramacastilla;Zaragoza;;50700;5067;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0461;C/ San Agustin, 1;Oficina Empleo de Caspe;Admon.;976630797;638895548 / 749063;Tramacastilla de Tena;Zaragoza;;50700;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0475;Plaza Aragón, s/n;Unidad de Salud Publica Caspe;Admon.;;;Trasobares; Zaragoza;;;;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0570;Avda. Luis Jordana de Pozas, s/n;Centro Salud Caspe;Salud;876636007;976696243;Uncastillo;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;24x7;;"608756955 / 710374; 650410217 / 710102";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1137;Plaza de España, 8;Unidad de Salud Publica Caspe;Admon.;876636268;;Undués de Lerda;Zaragoza;;;;;L, D ;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146;C/ Mayor, nº 21;Oficina de Empleo de Caspe (provisional);Admon.;;;Urrea de Gaén;Zaragoza;;;;;;inactivo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1516;C/ Chiprana, 35;Juzgado de Caspe;Justicia;976630138;976696330;Urrea de Jalón;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2410;Plaza Compromiso 12;C.E.I.P. Compromiso de Caspe - Caspe;C. Educa.;976630569;;Used;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2556;C/ Glorieta Federico García Lorca s/n;C.E.I.P. Alejo Lorén Albareda - Caspe;C. Educa.;976632028;;Utebo;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2559;C/ Guma 35, Planta 2;C.P.E.P.A. Joaquín Costa - Caspe;C. Educa.;976639022;;Utrillas;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2713;C/ José María Albareda 4;I.E.S. Mar de Aragón - Caspe;C. Educa.;976630208;;Valareña;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2719;C/ José María Albareda 4;Ext. E.O.I. de Alcañiz - Caspe;C. Educa.;;;Valbona;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2751;C/ Guma 35;E.O.E.P. Equipo Orient.Educ.Y Psicop. - Caspe;C. Educa.;976631608;;Valcarca;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2824;C/ Gumá 35;C.P.R. de Caspe - Caspe;C. Educa.;976631219;;Valdealgorfa;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;Plaza del Recreo s/n;C.R.A. de Montesnegros - Castejón de Monegros;C. Educa.;976172791;;Valdelinares;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0093;Avda. El Ral, 39;OCA Castejon de Sos;Admon.;974553810;638894253 / 749092;Valderrobres;Huesca;LS5011001D;22466;2264;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0504;C/ Uncastillo, 4;061 - sede central;Salud;;;Valdeltormo;Zaragoza;;50008;;;baja;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0414;Avda. El Real, 39;OCA Castejon de Sos (Antiguo);Admon.;;;Valencia;Huesca;;22466;2264;;bien;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0584;Plaza Constitución, 2;Centro Salud Castejon de Sos;Salud;974553187;974263642;Valjunquera;Huesca;;;;;L, V, D;activo;ES. REMOTO;24x7;;606345543 / 720029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;Plaza Costitución s/n;C.P.E.P.A. Ribagorza - Castejón de Sos;C. Educa.;974553102;;Valpalmas;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0508;Parque Tecnológico Walqa - edif. CETEC;CETEC (Walqa);Salud;;;Valmuel;Huesca;;;;;baja;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2094;Plaza de la Constitución 1;C.R.A. Alta Ribagorza - Castejón de Sos;C. Educa.;974553269;;Velilla de Cinca;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2102;Plaza Constitución 2;I.E.S. Castejon de Sos - Castejón de Sos;C. Educa.;974553269;;Velilla de Ebro;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2622;Plaza Vieja 27;C.R.A. Monlora - Castejón de Valdejasa;C. Educa.;;;Vencillón;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2077;C/ Barbastro s/n;C.R.A. Arco Iris - Castejón del Puente;C. Educa.;974403308;;Venta del Aire;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2295;C/ Mayor s/n;C.R.A. de Martín del Río - Castel de Cabra;C. Educa.;978753161;;Venta del Olivar;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0243;C/ Virgen del Rosario, 50;Virgen del Rosario, 50;Admon.;887455;;Vera de Moncayo;Teruel;LS5011001D;44560;4463;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2282;Paseo de la Mina 3;C.R.A. de Castellote - Castellote;C. Educa.;978887415;;Villa Nueva de Sigena;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2318;C/ Mayor Alta 69;C.R.A. del Mezquín - Castelserás;C. Educa.;978877131;;Villafeliche;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;C/ la Plaza s/n;C.R.A. Baja Ribagorza - Castigaleu;C. Educa.;;;Villafranca de Ebro;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2688;C/ Mayor 55;C.R.A. los Bañales - Castiliscar;C. Educa.;976671182;;Villafranca del Campo;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2808;Plaza Ra Plaza s/n;C.R.A. Vero-Alcanadre - Castillazuelo;C. Educa.;;;Villalba Baja;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;C/ Guerau Pons s/n;C.R.A. la Llitera - Castillonroy;C. Educa.;974434009;;Villalengua;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2241;C/ Horno s/n;C.R.A. Turia - Caude;C. Educa.;978651050;;Villamayor;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0173;C/ El Horno, 4;Parte del Parque de Zona y 18 Viviendas;Admon.;774154;;Villanúa;Teruel;LS5011001D;44147;4464;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0210;Plaza de la Constitucion, 2;Oficina de Veterinarios;Admon.;714145;;Villanueva de Gállego;Teruel;LS5011001D;44147;4464;;bien;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0614;Ctra. Alcalá, 1, bajos;Centro Salud Cedrillas;Salud;978774283;978223915;Villanueva de Huerva;Teruel;;;;;L, V, D;activo;ES. REMOTO;24x7;;676629487 / 730071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2272;C/ Basilio Muñoz 20-29;C.R.A. Palmira Pla - Cedrillas;C. Educa.;978774162;;Villanueva de Sigena;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238;C/ Las Escuelas s/n;C.R.A. Turia - Celadas;C. Educa.;978652054;;Villar Del Cobo;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0191;C/ La Iglesia, 28;Garaje;Admon.;650684;;Villarluengo;Teruel;LS5011001D;44370;4411;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0217;Plaza Mayor, 1;OCA Cella;Admon.;978653510;629365110 / 749032;Villaroya de La Siera;Teruel;LS5011001D;44370;4411;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0615;C/ Matadero, s/n;Centro Salud Cella;Salud;978653262;978223916;Villarquemado;Teruel;;;;;L, V, D;activo;ES. REMOTO;24x7;;660513628 / 730057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1710;PLAZA MAYOR, 1;AGRUP. SECR. JUZGADOS DE PAZ DE CELLA;Externo;978650250;;Villarreal de Huerva;TERUEL;;;;;DU;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2135;C/ Matadero s/n;C.E.I.P. Miguel Blasco Vilatela - Cella;C. Educa.;978653505;;Villarroya de la Sierra;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2331;C/ Sánchez Motos 64;C.P.E.P.A. de Cella - Cella;C. Educa.;978653511;;Villarroya de los Pinares;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2347;C/ Partida El Carro s/n;I.E.S. Sierra Palomera - Cella;C. Educa.;978653312;;Villaspesa;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2219;C/ la Fuente s/n;C.R.A. Javalambre - Cerezos (Los);C. Educa.;978782900;;Villastar;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1623;Acceso Al Telesilla, s/n. Planta Baja;ARAMON Montañas de Aragón S.A.;Externo;;;Villel;Huesca;;;;;bien;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2097;C/ Barranco D' Alto s/n;C.R.A. Alta Ribagorza - Cerler;C. Educa.;974552110;;Vinaceite;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2291;C/ la Iglesia 4;C.R.A. Tastavíns - Cerollera (La);C. Educa.;978856103;;Visiedo;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2603;C/ Cuatro Esquinas 35;C.R.A. Río Ribota - Cervera de la Cañada;C. Educa.;976896056;;Zaida (La);Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2655;C/ Pallares 2;C.R.A. Puerta de Aragón - Cetina;C. Educa.;976844182;;ZAIDIN;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2788;C/ Extramuros s/n;C.E.I.P. Ramón J. Sender - Chalamera;C. Educa.;974461617;;Zaidín;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299;C/ Ctra. s/n;C.R.A. de Muniesa - Alacón;C. Educa.;978818082;;Zaragoza;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;Ctra. de Huesca s/n;C.R.A. Montearagón - Chimillas;C. Educa.;974238471;;Zuera;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1106;C/ Mayor, 25;Centro de Interpretación en Chiprana;Admon.;976637436;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2411;C/ Lucio Fabio Severo s/n;C.E.I.P. Lucio Fabio Severo - Chiprana;C. Educa.;976637250;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2319;C/ Isidoro Celma s/n;C.R.A. del Mezquín - Codoñera (La);C. Educa.;978852506;;;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0547;C/ Hermanos Ibarra, 1-3;Consultorio Independencia  (Hermanos Ibarra);Salud;;;;Zaragoza;;;;;baja;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2667;Ctra. s/n;C.R.A. Vicort-Isuela - Codos;C. Educa.;976629090;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2079;C/ Monzon s/n;C.R.A. Arco Iris - Conchel;C. Educa.;974413391;;;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;Att. ZII;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2679;C/ Escuelas s/n;C.R.A. la Cepa - Cosuenda;C. Educa.;976627379;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2350;C/ Jardín de la Corona de Aragón s/n;C.R.A. Algars - Cretas;C. Educa.;978890473;;;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2264;C/ Las Escuelas s/n;C.R.A. Somontano-Bajo Aragón - Crivillén;C. Educa.;;;;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0642;C/ Constitución, 3 (Ayuntamiento);Consultorio Cuarte de Huerva;Salud;976502076 / No AMT;;;Zaragoza;;;;;D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1711;C/ MONASTERIO DE SIRESA, 7;AGRUP. SECR. JUZGADOS DE PAZ DE CUARTE DE HUERVA;Externo;976504220;;;ZARAGOZA;;;;;DU;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2511;C/ Ramón y Cajal 53;C.E.I.P. Ramón y Cajal - Cuarte de Huerva;C. Educa.;976463295;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2842;C/ Foro Romano s/n;C.E.I.P. Foro Romano - Cuarte de Huerva;C. Educa.;976509824;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2891;C/ Francia, s/n;CEIP Cuarte III;C. Educa.;976509824;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2615;C/ La Calzada s/n;C.R.A. Cerro de Santa Cruz - Cubel;C. Educa.;976809489;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2249;C/ San Antonio s/n;C.R.A. Pablo Antonio Crespo - Cuevas de Almudén;C. Educa.;978776137;;;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2285;Plaza Ayuntamiento s/n;C.R.A. de Castellote - Cuevas de Cañart;C. Educa.;978887423;;;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2830;Plaza de España s/n;C.R.A. Monegros-Hoya - Curbe;C. Educa.;974391004;;;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;Att. ZIII;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2359;C/ Mayor s/n;C.R.A. El Poyo del Cid - Cutanda;C. Educa.;;;;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0249;Avda. Escuelas Pias 2, Principal;Parque de Maquinaria;Admon.;976800755;;;Zaragoza;LS5011001D;50360;5068;;L;activo;ES. REMOTO;12X5;;629479432 / 772521 Capataz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0252;Plaza de España 6, bajo;OCA Daroca;Admon.;976545010;619807853 / 749008;;Zaragoza;LS5011001D;50360;5068;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0289;Avda. de Madrid 31, bajos;Taller de Empleo Murallas de Daroca;Admon.;#N/A;;;Zaragoza;LS5011001D;50360;5068;;bien;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0383;Ctra. Sagunto - Burgos;Forestales-TRACSA;Admon.;976801262;;;Zaragoza;;;;;L;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0595;C/ Luchente, s/n;Centro Salud Daroca;Salud;976800928;;;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;24x7;;689482831 / 710033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1517;Plaza del Colegial, s/n.;Juzgado de Daroca;Justicia;976800259;976696332;;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1746;PLAZA DE ESPAÑA, 2;CONJUNTO HISTORIO ARTISTICO DE DAROCA;Externo;976800312;;;ZARAGOZA;;;;;DU;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2412;C/ Barranco Luzbel s/n;C.E.I.P. Pedro Sánchez Ciruelo - Daroca;C. Educa.;976800879;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2413;C/ Cortes de Aragon 13;E.H. Puerta de Zaragoza - Daroca;C. Educa.;976800233;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2541;C/ Barranco de Luzbel s/n;I.E.S. Comunidad de Daroca - Daroca;C. Educa.;976802072;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2701;Plaza Comunidad de Daroca s/n;C.P.E.P.A. de Daroca - Daroca;C. Educa.;976800548;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0258;Ctra. de Gallur Km 30;Carretera de Gallur Km 30;Admon.;660607;;;Zaragoza;LS5011001D;50600;5069;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0271;C/ Libertad 12, Local;Libertad 12, Local;Admon.;663407;;;Zaragoza;LS5011001D;50600;5069;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0279;Paseo de la Constitucion s/n, bajos;OCA Ejea de los Caballeros;Admon.;976677130;619808315 / 749013;;Zaragoza;LS5011001D;50600;5069;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0305;C/ Tauste s/n, bajos;G.I. Virgen de La Oliva;Admon.;976661144;;;Zaragoza;LS5011001D;50600;5069;;L, D??;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0344;C/ Mediavilla, 27;Oficina Delegada de Ejea;Admon.;976677173;;;Zaragoza;LS5011001D;50600;5069;MLAN;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0511;C/ Antonio Machado, s/n;CME Ejea;Salud;976677978;976677075;;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0516;Paseo Constitucion, 114;Centro Salud de Ejea;Salud;976661861;976677570 RDSI Local;;Zaragoza;;;;;L, V, D;activo;ESTANDAR;24x7;;"682418586 / 778624; 699275419 / 718186";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1031;Ctra. A-127, Km. 37.88;Parque de Maquinaria Ejea de los Caballeros;Admon.;976660607;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;629470358 / 775131 / capataz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1032;Polígono Valdeferrín, Parcela 7;Matadero Carnicas Cinco Villas, S.A.;Admon.;976677222 / No AMT;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1033;Paseo del Muro, 22, Libertad 2;Hogar 3ª Edad Ejea de los Caballeros;Admon.;976660254;638894888 / 749080;;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1095;Camino de Valcabrera;Helipuerto Ejea de los Caballeros;Admon.;976665023;;;Zaragoza;;;;;L;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1110;Ctra. Tudela Km 3, 5;Medio Natural Vivero;Admon.;976665327 / 976665328;;;Zaragoza;;;;;L;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1518;C/ Independencia, 23;Juzgado de Ejea Caballeros;Justicia;976660301;976696329;;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1755;Polígono Valdeferrín, C/E, parcela 11-14;Incubadora alta tecnología Porcinnova;Externo;;;;Zaragoza;;;;;;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;Plaza de Goya, 7;C.P.R. de Ejea de los Caballeros - Ejea de los Caballeros;C. Educa.;976677160;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2414;Paseo Constitución 38-40;C.E.I.P. Cervantes - Ejea de los Caballeros;C. Educa.;976661511;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2415;C/ Alegría s/n;C.E.I.P. Ferrer y Racaj - Ejea de los Caballeros;C. Educa.;976662766;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2416;Ctra. de Erla s/n;I.E.S. Reyes Católicos - Ejea de los Caballeros;C. Educa.;976660645;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2506;Ctra. de Erla 50;C.E.I.P. Rector Mamés Esperabé ;C. Educa.;976661323;;;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
